transport,departure,arrival,passengers
avia,Нижний Новгород,Казань,1114
avia,Омск,Симферополь (Крым),1124
avia,Хабаровск,Якутск,1170
avia,Новый Уренгой,Махачкала,1156
avia,Архангельск,Краснодар,1115
avia,Уфа,Калининград,1138
avia,Калуга,Сочи,1111
avia,Самара,Красноярск,1057
avia,Томск,Абакан,1093
avia,Челябинск,Симферополь (Крым),1142
avia,Симферополь (Крым),Новосибирск,1143
avia,Тюмень,Анапа,1129
avia,Санкт-Петербург,Владивосток,1083
avia,Казань,Новосибирск,1162
avia,Белоярский,Ханты-Мансийск,1125
avia,Новосибирск,Благовещенск,1092
avia,Минеральные Воды,Сыктывкар,1118
avia,Хабаровск,Иркутск,1060
avia,Москва,Когалым,1086
avia,Москва,Братск,1118
avia,Магадан,Владивосток,1120
avia,Грозный,Нижний Новгород,1074
avia,Уфа,Казань,1084
avia,Новосибирск,Владивосток,1104
avia,Уфа,Симферополь (Крым),1113
avia,Симферополь (Крым),Челябинск,1054
avia,Петропавловск-Камчатский,Новосибирск,1107
avia,Омск,Салехард,1087
avia,Ростов-на-Дону,Пермь,1019
avia,Грозный,Санкт-Петербург,1111
avia,Уфа,Минеральные Воды,1088
avia,Чита,Санкт-Петербург,1115
avia,Красноярск,Мирный,1041
avia,Нягань,Екатеринбург,1104
avia,Новосибирск,Хабаровск,1031
avia,Сочи,Калуга,1086
avia,Воронеж,Симферополь (Крым),1026
avia,Тюмень,Берёзово,1045
avia,Анапа,Екатеринбург,1094
avia,Самара,Минеральные Воды,1098
avia,Самара,Тюмень,1118
avia,Красноярск,Чита,1102
avia,Анапа,Сургут,1101
avia,Хабаровск,Красноярск,1019
avia,Улан-Удэ,Новосибирск,1091
avia,Сургут,Белоярский,1049
avia,Краснодар,Архангельск,1009
avia,Когалым,Москва,1065
avia,Екатеринбург,Казань,1074
avia,Пермь,Ростов-на-Дону,1087
avia,Красноярск,Тура,999
avia,Сочи,Астрахань,1016
avia,Симферополь (Крым),Нижний Новгород,1012
avia,Краснодар,Сыктывкар,1016
avia,Ульяновск,Санкт-Петербург,1059
avia,Симферополь (Крым),Архангельск,1016
avia,Салехард,Краснодар,1066
