,city,first_1000,first_10000,first_100000,last_1000
352,Клин,-1.0,-1.0,-1.0,-1.0
353,Клинцы,-1.0,-1.0,-1.0,-1.0
354,Ковров,104.0,-1.0,-1.0,-1.0
355,Ковылкино,-1.0,-1.0,-1.0,-1.0
356,Когалым,-1.0,-1.0,-1.0,-1.0
357,Кодинск,-1.0,-1.0,-1.0,-1.0
358,Козельск,-1.0,-1.0,-1.0,-1.0
359,Козьмодемьянск,-1.0,-1.0,-1.0,-1.0
360,Кола,-1.0,-1.0,-1.0,-1.0
361,Коломна,118.0,-1.0,-1.0,-1.0
362,Колпашево,-1.0,-1.0,-1.0,-1.0
363,Колпино,-1.0,-1.0,-1.0,-1.0
364,Кольчугино,77.0,-1.0,-1.0,-1.0
365,Комсомольск,-1.0,-1.0,-1.0,-1.0
366,Комсомольск-на-Амуре,-1.0,-1.0,-1.0,-1.0
367,Конаково,161.0,-1.0,-1.0,176.0
368,Кондопога,-1.0,-1.0,-1.0,-1.0
369,Кондрово,-1.0,-1.0,-1.0,-1.0
370,Кораблино,-1.0,-1.0,-1.0,-1.0
371,Кореновск,-1.0,-1.0,-1.0,-1.0
372,Коркино,-1.0,-1.0,-1.0,-1.0
373,Короча,-1.0,-1.0,-1.0,-1.0
374,Коряжма,-1.0,-1.0,-1.0,-1.0
375,Кослан,-1.0,-1.0,-1.0,-1.0
376,Костомукша,-1.0,-1.0,-1.0,-1.0
377,Кострома,84.0,-1.0,-1.0,-1.0
378,Котельниково,-1.0,-1.0,-1.0,-1.0
379,Котельнич,-1.0,-1.0,-1.0,-1.0
380,Котлас,-1.0,-1.0,-1.0,-1.0
381,Котово,-1.0,-1.0,-1.0,-1.0
382,Красноармейск,-1.0,-1.0,-1.0,-1.0
383,Красновишерск,-1.0,-1.0,-1.0,-1.0
384,Краснодар,71.0,104.0,-1.0,-1.0
385,Краснокаменск,-1.0,-1.0,-1.0,-1.0
386,Краснокамск,-1.0,-1.0,-1.0,-1.0
387,Краснослободск,-1.0,-1.0,-1.0,-1.0
388,Краснотурьинск,-1.0,-1.0,-1.0,-1.0
389,Красноуральск,-1.0,-1.0,-1.0,-1.0
390,Красноуфимск,-1.0,-1.0,-1.0,-1.0
391,Красноярск,99.0,-1.0,-1.0,-1.0
392,Красный Кут,-1.0,-1.0,-1.0,-1.0
393,Красный Сулин,127.0,-1.0,-1.0,-1.0
394,Красный Холм,-1.0,-1.0,-1.0,-1.0
395,Красный Чикой,-1.0,-1.0,-1.0,-1.0
396,Кропоткин,-1.0,-1.0,-1.0,-1.0
397,Крутинка,-1.0,-1.0,-1.0,-1.0
398,Крымск,-1.0,-1.0,-1.0,-1.0
399,Кстово,-1.0,-1.0,-1.0,-1.0
400,Кубинка,-1.0,-1.0,-1.0,-1.0
401,Кувандык,-1.0,-1.0,-1.0,-1.0
402,Кувшиново,-1.0,-1.0,-1.0,-1.0
403,Кугеси,-1.0,-1.0,-1.0,-1.0
404,Кудымкар,-1.0,-1.0,-1.0,-1.0
405,Кузнецк,113.0,-1.0,-1.0,-1.0
406,Кулебаки,-1.0,-1.0,-1.0,-1.0
407,Кумертау,-1.0,-1.0,-1.0,-1.0
408,Кунгур,-1.0,-1.0,-1.0,-1.0
409,Купино,-1.0,-1.0,-1.0,-1.0
410,Курган,-1.0,-1.0,-1.0,-1.0
411,Курганинск,-1.0,-1.0,-1.0,-1.0
412,Курильск,-1.0,-1.0,-1.0,-1.0
413,Курск,81.0,-1.0,-1.0,-1.0
414,Куртамыш,-1.0,-1.0,-1.0,-1.0
415,Курчатов,-1.0,-1.0,-1.0,-1.0
416,Куса,-1.0,-1.0,-1.0,-1.0
417,Кушва,-1.0,-1.0,-1.0,-1.0
418,Кызыл,-1.0,-1.0,-1.0,-1.0
419,Кыштым,-1.0,-1.0,-1.0,-1.0
420,Лабинск,-1.0,-1.0,-1.0,-1.0
421,Лабытнанги,-1.0,-1.0,-1.0,-1.0
422,Лазаревское,-1.0,-1.0,-1.0,-1.0
423,Лаишево,-1.0,-1.0,-1.0,-1.0
424,Лакинск,-1.0,-1.0,-1.0,-1.0
425,Лангепас,-1.0,-1.0,-1.0,-1.0
426,Лахденпохья,-1.0,-1.0,-1.0,-1.0
427,Лебедянь,95.0,-1.0,-1.0,157.0
428,Лениногорск,-1.0,-1.0,-1.0,-1.0
429,Ленинск,-1.0,-1.0,-1.0,-1.0
430,Ленинск-Кузнецкий,-1.0,-1.0,-1.0,-1.0
431,Ленск,-1.0,-1.0,-1.0,-1.0
432,Лесной,-1.0,-1.0,-1.0,-1.0
433,Лесозаводск,-1.0,-1.0,-1.0,-1.0
434,Лесосибирск,-1.0,-1.0,-1.0,-1.0
435,Ливны,82.0,-1.0,-1.0,-1.0
436,Липецк,70.0,104.0,-1.0,-1.0
437,Лиски,-1.0,-1.0,-1.0,-1.0
438,Лихославль,-1.0,-1.0,-1.0,-1.0
439,Лобня,-1.0,-1.0,-1.0,-1.0
440,Лодейное Поле,-1.0,-1.0,-1.0,-1.0
441,Лоо,-1.0,-1.0,-1.0,-1.0
442,Луга,-1.0,-1.0,-1.0,-1.0
443,Луза,-1.0,-1.0,-1.0,-1.0
444,Лукоянов,-1.0,-1.0,-1.0,-1.0
445,Луховицы,-1.0,-1.0,-1.0,-1.0
446,Лысково,-1.0,-1.0,-1.0,-1.0
