transport,departure,arrival,passengers
avia,Краснодар,Нижневартовск,152
avia,Братск,Москва,152
avia,Надым,Екатеринбург,149
avia,Новосибирск,Петропавловск-Камчатский,145
avia,Краснодар,Калуга,151
avia,Магадан,Хабаровск,146
avia,Ярославль,Санкт-Петербург,136
avia,Челябинск,Ростов-на-Дону,146
avia,Саранск,Санкт-Петербург,147
avia,Красноярск,Тюмень,141
avia,Нижнекамск,Ростов-на-Дону,149
avia,Нарьян-Мар,Москва,145
avia,Нижневартовск,Санкт-Петербург,144
avia,Нижневартовск,Екатеринбург,147
avia,Краснодар,Калининград,150
avia,Череповец,Москва,145
avia,Владивосток,Иркутск,140
avia,Тюмень,Самара,141
avia,Петропавловск-Камчатский,Владивосток,133
avia,Талакан,Новосибирск,134
avia,Толька,Тюмень,138
avia,Симферополь (Крым),Сургут,132
avia,Новосибирск,Ноябрьск,132
avia,Пермь,Нижний Новгород,130
avia,Новосибирск,Чита,144
avia,Нижний Новгород,Сочи,138
avia,Симферополь (Крым),Омск,142
avia,Нижнеангарск,Иркутск,135
avia,Архангельск,Мурманск,131
avia,Ханты-Мансийск,Белоярский,135
avia,Ноябрьск,Новосибирск,136
avia,Казань,Минеральные Воды,143
avia,Санкт-Петербург,Якутск,131
avia,Санкт-Петербург,Ярославль,135
avia,Хабаровск,Оха,133
avia,Белоярский,Сургут,133
avia,Минеральные Воды,Новый Уренгой,133
avia,Санкт-Петербург,Грозный,135
avia,Ноябрьск,Тюмень,128
avia,Сургут,Анапа,138
avia,Тюмень,Красноярск,136
avia,Краснодар,Томск,131
avia,Сургут,Бугульма,138
avia,Сочи,Челябинск,124
avia,Симферополь (Крым),Красноярск,132
avia,Якутск,Хабаровск,129
avia,Хабаровск,Краснодар,132
avia,Якутск,Нерюнгри,123
avia,Пермь,Новый Уренгой,128
avia,Братск,Иркутск,132
avia,Нижнекамск,Краснодар,125
avia,Симферополь (Крым),Казань,133
avia,Минеральные Воды,Новосибирск,132
avia,Брянск,Санкт-Петербург,123
avia,Ростов-на-Дону,Новый Уренгой,132
avia,Симферополь (Крым),Чебоксары,136
avia,Волгоград,Ростов-на-Дону,132
avia,Калининград,Екатеринбург,132
avia,Якутск,Иркутск,130
avia,Нижний Новгород,Самара,123
avia,Мирный,Красноярск,129
avia,Омск,Минеральные Воды,130
avia,Хабаровск,Улан-Удэ,132
avia,Санкт-Петербург,Орск,123
avia,Новосибирск,Якутск,131
avia,Мурманск,Минеральные Воды,130
avia,Омск,Новый Уренгой,122
avia,Кызыл,Москва,126
avia,Иркутск,Хабаровск,126
avia,Сочи,Иркутск,128
avia,Хабаровск,Магадан,125
avia,Чита,Новосибирск,125
avia,Нижний Новгород,Симферополь (Крым),122
avia,Южно-Курильск,Южно-Сахалинск,116
avia,Красноярск,Якутск,126
avia,Мурманск,Сочи,117
avia,Сочи,Нижний Новгород,126
avia,Надым,Уфа,116
avia,Калининград,Краснодар,119
avia,Самара,Нижний Новгород,122
avia,Минеральные Воды,Уфа,117
avia,Челябинск,Сочи,125
avia,Новосибирск,Пермь,120
avia,Салехард,Омск,128
avia,Мурманск,Калининград,121
avia,Ханты-Мансийск,Берёзово,126
avia,Нижний Новгород,Пермь,128
avia,Горно-Алтайск,Красноярск,120
avia,Пермь,Симферополь (Крым),121
avia,Таксимо,Улан-Удэ,115
avia,Иркутск,Краснодар,117
avia,Томск,Сургут,121
avia,Иркутск,Нижнеангарск,114
avia,Томск,Иркутск,112
avia,Ростов-на-Дону,Нижнекамск,116
avia,Ноябрьск,Екатеринбург,114
avia,Липецк,Москва,121
avia,Байкит,Красноярск,114
avia,Анапа,Тюмень,111
avia,Нерюнгри,Якутск,117
avia,Екатеринбург,Ноябрьск,109
avia,Усинск,Казань,115
avia,Минеральные Воды,Мурманск,112
avia,Удачный,Москва,124
avia,Махачкала,Новый Уренгой,121
avia,Сочи,Мурманск,122
avia,Красноярск,Нерюнгри,111
avia,Уфа,Ноябрьск,117
avia,Оха,Хабаровск,123
avia,Санкт-Петербург,Хабаровск,120
avia,Чебоксары,Симферополь (Крым),115
avia,Удачный,Иркутск,112
avia,Магадан,Кепервеем,120
avia,Новосибирск,Горно-Алтайск,120
avia,Санкт-Петербург,Ульяновск,108
avia,Нижний Новгород,Казань,111
avia,Омск,Симферополь (Крым),112
avia,Хабаровск,Якутск,117
avia,Новый Уренгой,Махачкала,115
avia,Архангельск,Краснодар,111
avia,Уфа,Калининград,113
avia,Калуга,Сочи,111
avia,Самара,Красноярск,105
avia,Томск,Абакан,109
avia,Челябинск,Симферополь (Крым),114
avia,Симферополь (Крым),Новосибирск,114
avia,Тюмень,Анапа,112
avia,Санкт-Петербург,Владивосток,108
avia,Казань,Новосибирск,116
avia,Белоярский,Ханты-Мансийск,112
avia,Новосибирск,Благовещенск,109
avia,Минеральные Воды,Сыктывкар,111
avia,Хабаровск,Иркутск,106
avia,Москва,Когалым,108
avia,Москва,Братск,111
avia,Магадан,Владивосток,112
avia,Грозный,Нижний Новгород,107
avia,Уфа,Казань,108
avia,Новосибирск,Владивосток,110
avia,Уфа,Симферополь (Крым),111
avia,Симферополь (Крым),Челябинск,105
avia,Петропавловск-Камчатский,Новосибирск,110
avia,Омск,Салехард,108
avia,Ростов-на-Дону,Пермь,101
