;source;target;pass_day;transport;source_lat;source_lng;target_lat;target_lng;target_population;source_population;source_coords;target_coords;source_country;source_county;source_region;target_country;target_county;target_region
2534;Москва;Усть-Нера;2.7333333333333334;avia;55.4792046;37.3273304;64.566376;143.237839;5173.0;11514330.0;(37.3273304, 55.4792046);(143.237839, 64.566376);Russia;Podolsky;Moscow City;Russia;Oymyakonskiy;Sakha
2535;Барнаул;Красноярск;2.7;avia;53.347402;83.7784496;56.0090968;92.8725147;2180.0;635585.0;(83.7784496, 53.347402);(92.8725147, 56.0090968);Russia;Barnaul;Altai;Russia;Krasnojarsk;Krasnoyarsk
2536;Волгоград;Якутск;2.8;avia;48.64820995;44.3857638;62.027287;129.732086;269486.0;1021244.0;(44.3857638, 48.64820995);(129.732086, 62.027287);Russia;Volgograd;Volgograd;Russia;Jakutsk;Sakha
2537;Магадан;Белгород;2.033333333333333;avia;59.5604768;150.7988617;50.5955595;36.5873394;39026.0;95925.0;(150.7988617, 59.5604768);(36.5873394, 50.5955595);Russia;Magadan;Magadan;Russia;;Belgorod
2538;Норильск;Астрахань;2.433333333333333;avia;69.3498394;88.200517;46.3652486;48.05521686;520662.0;175301.0;(88.200517, 69.3498394);(48.05521686, 46.3652486);Russia;;Krasnoyarsk;Russia;Privolzhskiy;Astrakhan
2539;Пенза;Челябинск;2.1;avia;53.200001;45.0;55.1598408;61.4025547;31916.0;519592.0;(45.0, 53.200001);(61.4025547, 55.1598408);Russia;Penza;Penza;Russia;Chelyabinsk;Chelyabinsk
2540;Ханты-Мансийск;Новый Уренгой;1.6333333333333333;avia;61.00346;69.019157;66.085196;76.6799167;104144.0;20283.0;(69.019157, 61.00346);(76.6799167, 66.085196);Russia;;Khanty-Mansi;Russia;Nadymskiy;Yamalo-Nenets
2541;Ульяновск;Якутск;1.8;avia;54.1463177;47.2324921;62.027287;129.732086;269486.0;17149.0;(47.2324921, 54.1463177);(129.732086, 62.027287);;;;Russia;Jakutsk;Sakha
2542;Мурманск;Магнитогорск;2.433333333333333;avia;68.970665;33.07497;53.4242184;58.983136;408401.0;59690.0;(33.07497, 68.970665);(58.983136, 53.4242184);Russia;Murmansk;Murmansk;Russia;Magnitogorsk;Chelyabinsk
2543;Анадырь;Якутск;1.9666666666666663;avia;64.7316875;177.5060925;62.027287;129.732086;269486.0;13053.0;(177.5060925, 64.7316875);(129.732086, 62.027287);Russia;Anadyrskiy;Chukotka;Russia;Jakutsk;Sakha
2544;Липецк;Благовещенск;2.1;avia;52.6041877;39.5936899;50.290527;127.527161;214397.0;46798.0;(39.5936899, 52.6041877);(127.527161, 50.290527);Russia;;Lipetsk;Russia;Blagoveshchenskiy;Amur
2545;Москва;Нягань;2.833333333333333;avia;55.4792046;37.3273304;62.144636;65.4347572;54903.0;11514330.0;(37.3273304, 55.4792046);(65.4347572, 62.144636);Russia;Podolsky;Moscow City;Russia;Njagan';Khanty-Mansi
2546;Самара;Кемерово;1.5333333333333334;avia;53.198627;50.113987;55.355125;86.087234;532884.0;1164900.0;(50.113987, 53.198627);(86.087234, 55.355125);Russia;Samara;Samara;Russia;Kemerovo;Kemerovo
2547;Саратов;Ноябрьск;2.6;avia;51.530018;46.034683;63.2002917;75.4475807;110572.0;12846.0;(46.034683, 51.530018);(75.4475807, 63.2002917);Russia;Saratovskiy;Saratov;Russia;Purovskiy;Yamalo-Nenets
2548;Челябинск;Благовещенск;2.3;avia;55.1598408;61.4025547;50.290527;127.527161;214397.0;31916.0;(61.4025547, 55.1598408);(127.527161, 50.290527);Russia;Chelyabinsk;Chelyabinsk;Russia;Blagoveshchenskiy;Amur
2549;Мурманск;Чита;1.9;avia;68.970665;33.07497;52.033409;113.500893;323964.0;59690.0;(33.07497, 68.970665);(113.500893, 52.033409);Russia;Murmansk;Murmansk;Russia;Chita;Zabaykalsky
2550;Нижнекамск;Барнаул;1.6;avia;55.6412879;51.8160376;53.347402;83.7784496;635585.0;234108.0;(51.8160376, 55.6412879);(83.7784496, 53.347402);Russia;Nizhnekamsky District;Tatarstan;Russia;Barnaul;Altai
2551;Нальчик;Калининград;2.6666666666666665;avia;43.4883695;43.61056019;54.710128;20.5105838;6399.0;240095.0;(43.61056019, 43.4883695);(20.5105838, 54.710128);Russia;Nal'chik;Kabardino-Balkar;Russia;Kaliningrad;Kaliningrad
2552;Казань;Горно-Алтайск;2.7666666666666666;avia;55.7823547;49.1242266;51.957775;85.963653;62861.0;1216965.0;(49.1242266, 55.7823547);(85.963653, 51.957775);Russia;Kazan';Tatarstan;Russia;;Gorno-Altay
2553;Липецк;Архангельск;1.8333333333333333;avia;52.6041877;39.5936899;64.543022;40.537121;348716.0;46798.0;(39.5936899, 52.6041877);(40.537121, 64.543022);Russia;;Lipetsk;Russia;Arkhangel'sk;Arkhangelsk
2554;Пенза;Назрань;1.6333333333333333;avia;53.200001;45.0;43.2320774;44.7540128;93357.0;519592.0;(45.0, 53.200001);(44.7540128, 43.2320774);Russia;Penza;Penza;Russia;;North Ossetia-Alania
2555;Тикси;Красноярск;2.1;avia;71.636604;128.868546;56.0090968;92.8725147;2180.0;8440.0;(128.868546, 71.636604);(92.8725147, 56.0090968);Russia;Bulunsky District;Sakha;Russia;Krasnojarsk;Krasnoyarsk
2556;Благовещенск;Пенза;1.8;avia;50.290527;127.527161;53.200001;45.0;519592.0;214397.0;(127.527161, 50.290527);(45.0, 53.200001);Russia;Blagoveshchenskiy;Amur;Russia;Penza;Penza
2557;Сургут;Абакан;1.9;avia;61.254032;73.3964;53.7209024;91.442435;165183.0;38922.0;(73.3964, 61.254032);(91.442435, 53.7209024);Russia;;Khanty-Mansi;Russia;Abakan;Khakassia
2558;Абакан;Ставрополь;2.8;avia;53.7209024;91.442435;45.0433245;41.9690934;32736.0;165183.0;(91.442435, 53.7209024);(41.9690934, 45.0433245);Russia;Abakan;Khakassia;Russia;Stavropol';Stavropol
2559;Белгород;Воркута;2.5;avia;50.5955595;36.5873394;67.494957;64.0401;70551.0;39026.0;(36.5873394, 50.5955595);(64.0401, 67.494957);Russia;;Belgorod;Russia;Vorkuta;Komi
2560;Каргасок;Томск;2.7;avia;59.0598053;80.8708719;58.6124279;82.0475315;25614.0;24000.0;(80.8708719, 59.0598053);(82.0475315, 58.6124279);Russia;Kargasokskiy;Tomsk;;;
2561;Владикавказ;Сургут;1.7333333333333334;avia;43.024593;44.68211;61.254032;73.3964;38922.0;311635.0;(44.68211, 43.024593);(73.3964, 61.254032);Russia;Vladikavkaz;North Ossetia-Alania;Russia;;Khanty-Mansi
2562;Казань;Ставрополь;2.8666666666666667;avia;55.7823547;49.1242266;45.0433245;41.9690934;32736.0;1216965.0;(49.1242266, 55.7823547);(41.9690934, 45.0433245);Russia;Kazan';Tatarstan;Russia;Stavropol';Stavropol
2563;Магадан;Челябинск;2.2333333333333334;avia;59.5604768;150.7988617;55.1598408;61.4025547;31916.0;95925.0;(150.7988617, 59.5604768);(61.4025547, 55.1598408);Russia;Magadan;Magadan;Russia;Chelyabinsk;Chelyabinsk
2564;Саратов;Магнитогорск;1.8666666666666667;avia;51.530018;46.034683;53.4242184;58.983136;408401.0;12846.0;(46.034683, 51.530018);(58.983136, 53.4242184);Russia;Saratovskiy;Saratov;Russia;Magnitogorsk;Chelyabinsk
2565;Ставрополь;Нижнекамск;2.7666666666666666;avia;45.0433245;41.9690934;55.6412879;51.8160376;234108.0;32736.0;(41.9690934, 45.0433245);(51.8160376, 55.6412879);Russia;Stavropol';Stavropol;Russia;Nizhnekamsky District;Tatarstan
2566;Томск;Челябинск;2.1;avia;58.6124279;82.0475315;55.1598408;61.4025547;31916.0;25614.0;(82.0475315, 58.6124279);(61.4025547, 55.1598408);;;;Russia;Chelyabinsk;Chelyabinsk
2567;Уфа;Назрань;1.7666666666666666;avia;54.726288;55.947727;43.2320774;44.7540128;93357.0;1062300.0;(55.947727, 54.726288);(44.7540128, 43.2320774);Russia;Ufa;Bashkortostan;Russia;;North Ossetia-Alania
2568;Горно-Алтайск;Уфа;2.2666666666666666;avia;51.957775;85.963653;54.726288;55.947727;1062300.0;62861.0;(85.963653, 51.957775);(55.947727, 54.726288);Russia;;Gorno-Altay;Russia;Ufa;Bashkortostan
2569;Нижневартовск;Сыктывкар;1.9666666666666663;avia;60.9339411;76.5814274;61.6685237;50.8352024;235006.0;251860.0;(76.5814274, 60.9339411);(50.8352024, 61.6685237);Russia;;Khanty-Mansi;Russia;Syktyvkar;Komi
2570;Новый Уренгой;Грозный;2.7;avia;66.085196;76.6799167;43.3197031;45.6934308;271596.0;104144.0;(76.6799167, 66.085196);(45.6934308, 43.3197031);Russia;Nadymskiy;Yamalo-Nenets;Russia;;Chechnya
2571;Ульяновск;Новый Уренгой;1.8333333333333333;avia;54.1463177;47.2324921;66.085196;76.6799167;104144.0;17149.0;(47.2324921, 54.1463177);(76.6799167, 66.085196);;;;Russia;Nadymskiy;Yamalo-Nenets
2572;Новокузнецк;Нижнекамск;1.5666666666666669;avia;53.757607;87.136101;55.6412879;51.8160376;234108.0;547885.0;(87.136101, 53.757607);(51.8160376, 55.6412879);Russia;;Kemerovo;Russia;Nizhnekamsky District;Tatarstan
2573;Махачкала;Петропавловск-Камчатский;2.533333333333333;avia;42.9830241;47.5048717;53.0199693;158.6472187;179526.0;577990.0;(47.5048717, 42.9830241);(158.6472187, 53.0199693);Russia;Makhachkala;Dagestan;Russia;;Kamchatka
2574;Астрахань;Чебоксары;2.2;avia;46.3652486;48.05521686;56.1307195;47.2449597;447929.0;520662.0;(48.05521686, 46.3652486);(47.2449597, 56.1307195);Russia;Privolzhskiy;Astrakhan;Russia;Cheboksary;Chuvash
2575;Абакан;Воронеж;2.6333333333333333;avia;53.7209024;91.442435;51.6605982;39.2005858;19738.0;165183.0;(91.442435, 53.7209024);(39.2005858, 51.6605982);Russia;Abakan;Khakassia;Russia;Voronezh;Voronezh
2576;Кызыл;Казань;2.033333333333333;avia;51.7190995;94.4300627;55.7823547;49.1242266;1216965.0;109906.0;(94.4300627, 51.7190995);(49.1242266, 55.7823547);Russia;Kyzyl;Tuva;Russia;Kazan';Tatarstan
2577;Надым;Ростов-на-Дону;2.433333333333333;avia;65.5336238;72.5113955;47.2213858;39.7114196;1091544.0;46550.0;(72.5113955, 65.5336238);(39.7114196, 47.2213858);Russia;Nadymsky District;Yamalo-Nenets;Russia;Rostov-na-Donu;Rostov
2578;Талакан;Ростов-на-Дону;2.033333333333333;avia;49.7215861;131.9067955;47.2213858;39.7114196;1091544.0;4345.0;(131.9067955, 49.7215861);(39.7114196, 47.2213858);Russia;Verkhnebureinskiy;Khabarovsk;Russia;Rostov-na-Donu;Rostov
2579;Благовещенск;Липецк;2.7333333333333334;avia;50.290527;127.527161;52.6041877;39.5936899;46798.0;214397.0;(127.527161, 50.290527);(39.5936899, 52.6041877);Russia;Blagoveshchenskiy;Amur;Russia;;Lipetsk
2580;Саратов;Салехард;2.066666666666667;avia;51.530018;46.034683;66.5375387;66.6157469;42494.0;12846.0;(46.034683, 51.530018);(66.6157469, 66.5375387);Russia;Saratovskiy;Saratov;Russia;Salekhard;Yamalo-Nenets
2581;Иркутск;Белгород;1.9666666666666663;avia;52.289597;104.280586;50.5955595;36.5873394;39026.0;6751.0;(104.280586, 52.289597);(36.5873394, 50.5955595);Russia;Irkutsk;Irkutsk;Russia;;Belgorod
2582;Нерюнгри;Ленск;2.2;avia;56.6579435;124.7123042;60.7145488;114.9172123;24955.0;61746.0;(124.7123042, 56.6579435);(114.9172123, 60.7145488);Russia;Neryungri;Sakha;Russia;Lenskiy;Sakha
2583;Санкт-Петербург;Белоярский;1.5333333333333334;avia;59.929689;30.361791;63.7156353;66.6667691;20283.0;4848742.0;(30.361791, 59.929689);(66.6667691, 63.7156353);Russia;;Saint Petersburg;Russia;Beloyarskiy;Khanty-Mansi
2584;Тюмень;Чита;2.0;avia;57.153534;65.542274;52.033409;113.500893;323964.0;581758.0;(65.542274, 57.153534);(113.500893, 52.033409);Russia;Tjumen';Tyumen;Russia;Chita;Zabaykalsky
2585;Грозный;Мурманск;1.5333333333333334;avia;43.3197031;45.6934308;68.970665;33.07497;59690.0;271596.0;(45.6934308, 43.3197031);(33.07497, 68.970665);Russia;;Chechnya;Russia;Murmansk;Murmansk
2586;Нижний Новгород;Нижний Новгород;2.4;avia;56.328571;44.003506;56.328571;44.003506;1250615.0;1250615.0;(44.003506, 56.328571);(44.003506, 56.328571);Russia;Nizhniy Novgorod;Nizhny Novgorod;Russia;Nizhniy Novgorod;Nizhny Novgorod
